source	target
Q9UER7	Q9Y5Q9
P25054	Q14258
P25054	Q9HAU0
P25054	Q9BRK4
P25054	P47897
P25054	Q01844
P25054	Q9Y496
P25054	Q92905
P25054	Q92845
P25054	Q9H4B6
P19474	Q13501
P19474	Q13283
P19474	P63279
P19474	Q13547
P19474	P25054
P19474	Q9UER7
P19474	Q99459
Q676U5	Q8WXF8
P68104	Q9Y6H6
P68104	Q14999
P68104	Q9Y4K3
P68104	Q92905
P68104	Q16543
P68104	Q13618
P68104	Q99459
P68104	Q14258
Q9NRI5	Q9Y496
Q15056	Q9H3H3
Q15717	Q8WWI5
Q15717	Q9HAF1
Q15717	Q9H4B6
Q15717	Q96GN5
Q15717	Q676U5
Q15717	Q99459
Q15717	Q9HAU0
Q15717	Q92905
Q08380	Q92905
Q08380	Q8IXZ2
Q08380	Q14999
Q08380	Q13618
Q02952	Q13043
Q02952	Q92630
Q02952	Q9H4B6
Q16543	Q9Y4K3
Q16543	Q9BQ95
Q96EK5	Q9Y496
Q96EK5	Q9H4B6
P47897	Q9Y6H6
P47897	Q14999
P47897	Q13618
P47897	Q9BRK4
P47897	Q9H4B6
O95816	P00533
O95816	Q14258
O95816	Q08380
O95816	Q13618
O95816	Q14999
O95816	Q9Y4K3
O95816	P02751
O95816	P07437
O95816	P10398
O95816	P47897
Q9H4B6	Q9NRA8
Q9H4B6	Q9NS23
P04406	P60709
P04406	Q9Y6H6
P04406	Q13043
P04406	Q14258
P04406	Q92905
P04406	P05412
P04406	Q14999
P04406	P68104
P04406	P08238
P04406	P07437
P04406	P05067
P04406	Q01844
P04406	Q99459
P04406	Q13618
P05067	Q9NUI1
P05067	Q14999
P05067	Q9Y4K3
P05067	Q14258
P05067	Q16543
P05067	Q9Y496
P05067	P49796
P05067	P05412
P05067	Q92630
P05067	P19419
P05067	Q92478
P05067	P07339
P05067	P07437
P05067	P47897
P05067	P60709
P05067	Q9BQ95
P05067	P49407
P05067	Q676U5
P05067	Q92905
P05067	P78362
P05067	Q13618
P05067	Q9Y2H9
P05067	Q13283
P05067	P06396
P05067	Q8IXZ2
P05067	P63279
P05067	P48454
P05067	Q16666
P00533	Q02952
P00533	P07339
P00533	Q13547
P00533	P49407
P00533	P07437
P00533	Q92187
P00533	Q8NBJ4
P00533	P08238
P00533	P68104
P00533	P05067
P00533	P03372
P00533	P04406
P00533	Q9Y2H9
P00533	P60709
P00533	P02751
P00533	P62736
P00533	Q01844
P00533	P06396
P00533	Q13283
P00533	Q16543
P49796	Q9NWS9
P07437	Q9NS23
P07437	Q08380
P07437	P49407
P07437	Q16543
P07437	P60709
P07437	P08238
P07437	Q99459
P07437	Q9Y4K3
P07437	Q9NRI5
P07437	Q92905
P07437	P68104
P07437	Q15717
P07437	Q13618
Q16666	Q8NFH5
Q5T3J3	Q9Y6H6
Q00534	Q14258
Q00534	Q9NRA8
Q00534	Q8WXF8
Q00534	Q15717
Q00534	Q16543
Q13547	Q99459
Q13547	Q9UER7
Q13547	Q9Y4K3
Q96GN5	Q9UER7
Q9H3H3	Q9Y6H6
P05412	P63279
P05412	P47897
P05412	Q15717
P05412	Q99729
P05412	P78362
P05412	Q99459
P05412	P49407
P05412	P07437
P05412	Q9HAU0
P05412	Q92905
P05412	P62736
P05412	Q16543
P05412	Q9HD23
P05412	P68104
P05412	Q13547
P05412	Q13283
P05412	P60709
P05412	Q01844
P05412	Q14258
P05412	Q92845
P05412	P08238
P05412	Q12840
P05412	P51532
P03372	Q5T3J3
P03372	Q13283
P03372	P51532
P03372	P05412
P03372	Q14258
P03372	P08238
P03372	Q01844
P03372	P49796
P03372	P63279
P03372	P06396
P03372	Q92905
P03372	Q99729
P03372	Q9Y4K3
P03372	P13056
P03372	P04406
P03372	Q13618
P03372	P60709
P03372	Q9HAV0
P03372	P07437
P03372	Q13547
P03372	P78362
P51532	Q92905
P51532	Q99459
P51532	Q14258
P51532	Q13547
P51532	P60709
P51532	Q16666
P51532	Q13618
P51532	Q9Y5Q9
P06396	P49407
P06396	P35080
P06396	Q14999
P06396	P60709
P06396	Q86VW0
P13056	Q13547
P13056	P51532
Q12840	Q9Y6H6
Q92630	Q9H4B6
Q92630	Q9BRK4
P19419	Q13547
P19419	Q00534
P19419	Q02535
P19419	Q15717
P19419	Q92905
P19419	P63279
P19419	Q01844
P07339	Q16666
P07339	Q14258
Q9BQ95	Q9Y4K3
Q9BQ95	Q9Y2H9
P48454	Q01850
Q01081	Q14999
Q01081	Q01844
Q01081	Q99459
Q01081	Q13618
Q01081	Q13283
O60341	P05412
O60341	Q9NS23
O60341	P03372
O60341	P13056
O60341	P63279
O60341	Q13547
O60341	Q99459
O60341	P25054
Q9NS23	Q9UER7
Q9NS23	Q9Y6H6
Q9HAU0	Q9Y496
Q13043	Q13501
Q13043	Q9H4B6
Q13043	Q9UER7
Q13043	Q9NS23
Q13043	Q16543
Q13043	Q92630
Q13043	Q15717
Q92845	Q9NRI5
Q92845	Q9Y496
Q8WWI5	Q9Y6H6
Q02535	Q16666
Q02535	Q68DY1
Q12926	Q8IXZ2
Q12926	Q99459
Q12926	Q13283
Q12926	Q14576
Q12926	Q13618
Q12926	Q99729
P10398	Q16543
P10398	P62736
P10398	Q96EK5
P09914	P51532
Q8NBJ4	Q9Y6H6
O14770	Q13501
O14770	P60709
O14770	Q9HAV0
O14770	Q14258
O14770	P05067
P25101	P49407
P25101	Q92905
P25101	P29992
Q13227	Q13547
Q13227	Q86VW0
Q13227	Q99459
P29992	P49796
P29992	Q15717
P29992	Q14258
P29992	Q9HAV0
Q14576	Q16543
Q14576	Q9BQ95
Q14576	Q9Y2H9
P35080	Q14258
P35080	Q86VW0
P35080	P62736
P35080	Q13283
P35080	Q9Y4K3
P35080	P68104
P35080	P60709
P01023	Q16543
P01023	Q9Y2H9
P01023	Q9BQ95
P01023	Q14576
P01023	P60709
P01023	P05067
P01023	P04406
O14964	P25054
O14964	P49407
O14964	P00533
O14964	P07437
O14964	Q01850
O14964	P14373
O14964	P05067
O14964	P63279
O14782	Q99459
O14782	O15066
O14782	Q92845
O14782	Q8IXZ2
O14782	Q9NRI5
O14782	Q13043
O14782	Q96EK5
O14782	P25054
O14782	Q02952
O14782	Q9Y496
O14782	Q92630
O14782	Q9H4B6
O15066	Q92630
O15066	P25054
O15066	Q92845
O15066	Q9Y496
O15066	P05067
O15066	Q02952
O15066	Q9H4B6
O15066	Q96EK5
O15066	Q13043
O00459	P60709
O00459	Q13618
O00459	P07437
O00459	P05067
O00459	P00533
O00459	P49407
O00459	P68104
O00459	Q13501
O00459	P03372
O15519	P08238
O15519	Q92851
O15519	O75618
O15519	P06396
O15519	Q8WXF8
O15519	Q9UER7
O15519	Q16543
O75381	P07437
O75381	Q8NFH5
O75381	Q14576
O75381	Q13547
Q86VW0	Q9UEU0
Q86VW0	Q9HAF1
Q86VW0	Q9HAU0
Q86VW0	Q9BRK4
Q86VW0	Q9NUI1
Q86VW0	Q9UER7
Q86VW0	Q96BR6
Q5T7M9	Q92187
O43187	Q86VW0
O43187	P08238
O43187	Q16543
O43187	P10398
O43187	Q14258
O43187	Q9Y4K3
O14645	P35080
O14645	Q86VW0
O14645	P06396
O14645	P05067
O43251	Q14258
O43251	Q15717
O43251	Q99729
O43251	Q13618
O43251	Q8WXF8
O43251	Q12926
O43251	P03372
O43251	P25054
Q8WXF8	Q92851
Q8WXF8	Q99729
Q8WXF8	Q9Y5Q9
Q8WXF8	Q96GN5
O75618	Q14258
O75618	P05067
O75618	Q9Y5Q9
O75618	Q92851
O75618	Q8WXF8
